요양기관명,요양종별,시도명,도로명주소,표시과목명,개설일자,전화번호,lat,lng
선릉닥터에버스의원,의원,서울,"서울특별시 강남구 테헤란로 328, 동우빌딩 지하층 101~106호 (역삼동)",일반의,2026-03-09,02-569-2010,37.5037075363048,127.047678791723
잠실더봄이비인후과의원,의원,서울,"서울특별시 송파구 올림픽로 329, 르엘상가 204~206호 (신천동)",이비인후과,2026-03-19,02-419-7582,37.5161588169493,127.106659247528
서울라움결정신건강의학과의원,의원,서울,"서울특별시 서초구 서초대로 307, 장안빌딩 2층 내제나호 (서초동)",정신건강의학과,2026-03-19,010-3322-5375,37.4944061815038,127.015132071979
명동 뷰티랩 약국,약국,서울,"서울특별시 중구 명동10길 35-3, 삼영타워 1층 (충무로2가)",,2026-03-19,02-777-3347,37.5622884076317,126.985844679797
역삼밴스피부과의원,의원,서울,"서울특별시 강남구 테헤란로 116, 동경빌딩 1~2층 (역삼동)",피부과,2026-03-01,02-6956-0363,37.4984820624077,127.030531543748
마포서울이비인후과의원,의원,서울,"서울특별시 마포구 월드컵로 200, SJ라벨라상암 10층 (성산동)",이비인후과,2026-03-09,02-3152-8275,37.5649569864623,126.902554646241
안톤의원,의원,서울,"서울특별시 영등포구 신길로 147, 투란빌딩 5층 (신길동)",일반의,2026-03-13,02-6956-9547,37.5054207595358,126.910510132947
잠실래미안약국,약국,서울,"서울특별시 송파구 올림픽로35길 45, 잠실래미안아이파크 상가동 5층 526호 (신천동)",,2026-03-20,02-2088-0869,37.5191418524332,127.109423017985
도레성형외과의원,의원,서울,"서울특별시 서초구 서초대로77길 3, 아라타워 4층 (서초동)",성형외과,2026-03-23,02-591-7703,37.4980609129976,127.026504807476
연세척마취통증의학과의원,의원,서울,"서울특별시 양천구 목동서로 387, 301,302,401,402,403호 (신정동)",마취통증의학과,2026-03-26,02-2651-1119,,
르엘센트럴약국,약국,서울,"서울특별시 송파구 올림픽로 329, 잠실르엘상가동 2층 219호 (신천동)",,2026-03-26,02-423-6289,37.5161588169493,127.106659247528
광장엘르산부인과의원,의원,서울,"서울특별시 광진구 아차산로 563, 대한제지(주) 사옥 4층 (광장동)",산부인과,2026-03-23,02-6235-7582,37.5441340657514,127.10293064906
홍대레드로드 베리뉴약국,약국,서울,"서울특별시 마포구 어울마당로 115-1, 1~2층 (동교동)",,2026-03-30,010-2232-8155,37.5551665159589,126.923095488814
채올의원,의원,서울,"서울특별시 강남구 도산대로 333, K+ 메디칼타워 8층 (신사동)",일반의,2026-03-06,02-543-7589,37.523358666868,127.038381231393
잠실본바디한의원,한의원,서울,"서울특별시 송파구 백제고분로9길 9, 유성빌딩 4층 (잠실동)",,2026-03-06,02-423-0443,37.5095108359945,127.080125672043
아름미소서울치과의원,치과의원,서울,"서울특별시 동대문구 이문로 120, 아이파크자이상가 3층 C313,314호 (이문동)",,2026-03-30,02-969-2882,37.5984702182265,127.062682937358
강남세렌여성의원,의원,서울,"서울특별시 서초구 강남대로 337, 6층 (서초동)",일반의,2026-03-26,02-6254-3366,37.4930974581576,127.029498295522
사가정연세365정형외과의원,의원,서울,"서울특별시 중랑구 사가정로 386, 2,3층 (면목동)",정형외과,2026-03-20,02-436-7582,,
이안한의원,한의원,서울,"서울특별시 동대문구 이문로 120, 아이파크자이상가 3층 A316호 (이문동)",,2026-03-23,02-960-1675,37.5984702182265,127.062682937358
커스텀피부과의원,의원,서울,"서울특별시 서초구 강남대로 527, 브랜드칸 타워 16층 (반포동)",피부과,2026-03-24,010-8546-7205,37.5090878311164,127.021849979814
방배클린치과의원,치과의원,서울,"서울특별시 서초구 방배로33길 6, 4층 (방배동)",,2026-03-25,-,37.492225515444,126.990437906748
파크쥬니어치과의원,치과의원,서울,"서울특별시 서대문구 수색로4나길 11, B동 2층 203호 (남가좌동)",,2026-03-13,02-6357-1004,37.5710887052509,126.914154216412
외대경희약국,약국,서울,"서울특별시 동대문구 이문로 120, 이문아이파크자이 상가동 1층 C103호 (이문동)",,2026-03-03,02-960-3492,37.5984702182265,127.062682937358
서울나온치과의원,치과의원,서울,"서울특별시 송파구 올림픽로35길 45, 301~303호 (신천동)",,2026-03-06,02-420-2877,,
바른서울안과의원,의원,서울,"서울특별시 마포구 독막로 241, 올센병원 6층 (대흥동)",안과,2026-03-12,02-714-7575,37.5469574448447,126.940601931391
우진약국,약국,서울,"서울특별시 금천구 시흥대로 335, 1층 (독산동)",,2026-03-12,0507-1301-8953,37.4634767996937,126.897064048702
연세루미너스치과의원,치과의원,서울,"서울특별시 강남구 강남대로 338, 204호 205호 (역삼동)",,2026-03-23,02-565-7528,37.4935021866475,127.030576783854
이문아름약국,약국,서울,"서울특별시 동대문구 이문로 120, 이문아이파크자이 상가동 3층 C316호 (이문동)",,2026-03-11,02-968-8943,37.5984702182265,127.062682937358
르메디약국,약국,서울,"서울특별시 동대문구 고산자로32길 78, 판매시설동 지하1층 B123, B124, B125호 (용두동, 청량리역한양수자인그라시엘)",,2026-03-11,02-965-3894,,
서여의도의원,의원,서울,"서울특별시 영등포구 국회대로70길 18, 한양빌딩 2층 2호 (여의도동)",일반의,2026-03-30,02-6953-5382,37.5288920000623,126.920347540815
연세포커스안과의원,의원,서울,"서울특별시 동대문구 이문로 120, 아이파크자이상가 3층 AA304,A308~313호 (이문동)",안과,2026-03-06,02-965-3579,,
글로우치과교정과치과의원,치과의원,서울,"서울특별시 동대문구 이문로 120, 아이파크자이상가 2층 D206~209호 (이문동)",,2026-03-23,02-962-2879,37.5984702182265,127.062682937358
강동우태하피부과의원,의원,서울,서울특별시 강동구 양재대로,피부과,2026-03-18,02-6228-1231,37.5459585234695,127.143045400564
이문정다운내과의원,의원,서울,"서울특별시 동대문구 이문로 120, 아이파크자이상가 3층 A301~305,315호 (이문동)",내과,2026-03-20,02-960-1124,,
파스칼구강악안면외과치과의원,치과의원,서울,"서울특별시 강남구 도산대로 157, 신웅타워2 4층 (신사동)",,2026-03-30,02-2135-1406,37.5190318997662,127.025642795762
알로하한의원,한의원,서울,"서울특별시 강남구 학동로4길 15, 동화상가 2층 202호 (논현동)",,2026-03-09,02-6954-0415,37.5105152390861,127.023536119994
밸런스본튼튼의원,의원,서울,"서울특별시 영등포구 영중로 51-1, 닥터스 빌딩 3,4층 (영등포동6가)",일반의,2026-03-03,02-2677-8988,37.5209473850764,126.904622073126
엠메디칼약국,약국,서울,"서울특별시 동대문구 답십리로 288, 씨젠 메디칼 타워 4층 4-6호 (장안동)",,2026-03-25,02-3390-4470,37.5719341385201,127.072354312103
잠실연세정신건강의학과의원,의원,서울,"서울특별시 송파구 올림픽로 329, 르엘 510~512호 (신천동)",정신건강의학과,2026-03-11,02-423-3358,37.5161588169493,127.106659247528
정원약국,약국,서울,"서울특별시 금천구 시흥대로 411, 제101호 (독산동)",,2026-03-19,02-000-0000,37.4704251563345,126.89761906817
동대문위드유외과의원,의원,서울,"서울특별시 동대문구 이문로 120, 아이파크자이상가 2층 C213,214,219호 (이문동)",외과,2026-03-17,02-6949-6075,,
365홍제바른정형외과의원,의원,서울,"서울특별시 서대문구 통일로 413, 1층 101호 (홍제동)",정형외과,2026-03-19,02-379-7588,37.5861817569167,126.946438736626
은평마디튼튼365의원,의원,서울,"서울특별시 은평구 응암로 180, 1층 (응암동)",일반의,2026-03-31,02-6380-1234,37.5880606193782,126.917032662931
연신내 닥터에버스의원,의원,서울,"서울특별시 은평구 통일로 861, 범일빌딩 7층 (갈현동)",일반의,2026-03-18,02-2135-4755,37.61980506305,126.920232187544
잠실삼성365의원,의원,서울,서울특별시 송파구 올림픽로35길,일반의,2026-03-04,02-416-9111,37.5188116600481,127.105835904879
2층온누리약국,약국,서울,"서울특별시 송파구 올림픽로35길 45, 잠실래미안아이파크 상가동 2층 206호 (신천동)",,2026-03-10,02-418-1401,37.5191418524332,127.109423017985
리브영의원,의원,서울,"서울특별시 강남구 압구정로 208, 본경빌딩 2층 202호 (신사동)",일반의,2026-03-19,02-517-3338,37.5275917745892,127.029898895275
클레오르의원,의원,서울,"서울특별시 서초구 강남대로 447, 남서울빌딩 12층 (서초동)",일반의,2026-03-10,02-3478-5111,37.5021919730024,127.025096790584
카인드정신건강의학과의원,의원,서울,"서울특별시 중구 서소문로 130, 대양빌딩 2층 (서소문동)",정신건강의학과,2026-03-19,02-777-7582,37.5634153976887,126.975525126396
센트럴하트내과의원,의원,서울,"서울특별시 송파구 송파대로 562, 3층 일부호 (신천동, 웰리스타워,삼성웰리스아파트)",내과,2026-03-11,02-424-2026,37.5153235254771,127.099502662936
엘앤에스비뇨의학과의원 동부점,의원,서울,"서울특별시 중랑구 사가정로 386, 9층 (면목동)",비뇨의학과,2026-03-03,02-2209-1119,37.5805345653841,127.087419396496
드림핏한의원,한의원,서울,"서울특별시 서초구 서초대로78길 50, 우영빌딩 4층 (서초동)",,2026-03-30,02-6951-1234,37.493354456185,127.028640800934
노원탑365의원,의원,서울,"서울특별시 노원구 노원로 456, 백암빌딩 2층 201호 (상계동)",일반의,2026-03-18,02-935-0365,37.6574506244607,127.066727527743
매일약국,약국,서울,"서울특별시 노원구 노원로 456, 백암빌딩 202호 (상계동)",,2026-03-18,02-2135-7298,37.6574506244607,127.066727527743
365왕약국,약국,서울,"서울특별시 은평구 불광로 29, 은평스타빌딩 1층 104호 (대조동)",,2026-03-04,02-351-4228,37.6110148063997,126.928917440019
매일연안과의원,의원,서울,"서울특별시 중랑구 사가정로 386, 6,7,8층 (면목동)",안과,2026-03-04,02-6956-3658,,
서울올림정형외과의원,의원,서울,"서울특별시 송파구 올림픽로35길 45, 501~509호 (신천동)",정형외과,2026-03-04,02-418-7588,,
윤민정형외과의원,의원,서울,"서울특별시 서초구 잠원로8길 25, 5층 505, 512~513호 (잠원동)",정형외과,2026-03-25,02-6304-1234,37.51445739077,127.01144913923
문정새봄약국,약국,서울,"서울특별시 송파구 송이로36길 68, 신안빌딩 1층 일부호 (문정동)",,2026-03-24,02-401-3525,37.4834104090022,127.126563030111
숨 한약국,약국,서울,서울특별시 마포구 잔다리로,,2026-03-30,02-6952-3031,37.5538059668174,126.916914816168
에이치에스신경외과의원,의원,서울,"서울특별시 동작구 동작대로 137, 서송타워 7층 (사당동)",신경외과,2026-03-11,02-535-8787,37.4889366618211,126.981982392312
밝은미소약국,약국,서울,"서울특별시 동대문구 이문로 120, 이문아이파크자이 상가동 3층 A314호 (이문동)",,2026-03-13,02-2088-0970,37.5984702182265,127.062682937358
아산온유이비인후과의원,의원,서울,"서울특별시 송파구 양산로 38, 4층 (거여동)",이비인후과,2026-03-05,02-6413-8275,37.4921394054625,127.144294543134
잠원연세이비인후과의원,의원,서울,"서울특별시 서초구 잠원로8길 25, 3층 301,325~327호 (잠원동)",이비인후과,2026-03-04,02-0000-0000,37.51445739077,127.01144913923
메디엘산부인과의원,의원,서울,"서울특별시 송파구 올림픽로 289, 잠실시그마타워 4층 일부호 (신천동)",산부인과,2026-03-20,02-2039-3322,37.5146152773177,127.102522142353
보라매3층약국,약국,서울,"서울특별시 동작구 보라매로5가길 16, 308호 (신대방동, 보라매아카데미타워)",,2026-03-20,02-6348-2616,37.4912751024086,126.924094714271
디디피약국,약국,서울,서울특별시 중구 장충단로13길,,2026-03-03,010-8132-6405,37.5680395564177,127.007169041157
짱한의원,한의원,서울,"서울특별시 강남구 도산대로 121, YK타워 8층 (신사동)",,2026-03-06,02-515-1079,37.5174076350786,127.021728769737
이고의원,의원,서울,"서울특별시 강남구 논현로 867, 한승빌딩 6층 (신사동)",일반의,2026-03-04,02-2135-5821,37.5261817663485,127.028189969547
잠실성모바루다신경외과의원,의원,서울,"서울특별시 송파구 올림픽로35길 45, 212~220호 (신천동)",신경외과,2026-03-30,02-2042-7575,,
전루민안과의원,의원,서울,"서울특별시 강서구 강서로 385, 우성에스비타워 201,202호 (마곡동)",안과,2026-03-26,010-4343-7979,37.5600926354663,126.838304106686
명동점라라의원,의원,서울,"서울특별시 중구 남대문로 68, 5층 (명동2가)",일반의,2026-03-19,02-318-7944,37.5631099932315,126.98226380533
이웃집한의원,한의원,서울,"서울특별시 강동구 양재대로 1360, 포레온스테이션5 B174, B175호 (둔촌동)",,2026-03-26,02-6951-3251,37.5274758605763,127.137046059861
대치왕솔약국,약국,서울,"서울특별시 강남구 삼성로 212-2, 은마B블럭 1층 116호,135호 (대치동)",,2026-03-26,02-566-5002,37.4957694721901,127.0627580296
명동중앙로 퓨어약국,약국,서울,"서울특별시 중구 명동8길 41, 1층 (충무로2가)",,2026-03-03,010-2992-6568,37.5619157480621,126.985053826509
루비의원,의원,서울,"서울특별시 마포구 큰우물로 64, 4층 (용강동)",일반의,2026-03-12,02-707-0772,37.5415366387988,126.944995297191
장안본플란트치과의원,치과의원,서울,"서울특별시 동대문구 장한로 115, 제일빌딩 1,2층 (장안동)",,2026-03-18,02-3390-3103,37.5709408102064,127.070536882497
오늘봄치과의원,치과의원,서울,"서울특별시 중랑구 사가정로 386, 10,11층 (면목동)",,2026-03-23,02-433-2879,,
보메피부과의원,의원,서울,"서울특별시 강남구 논현로 857, A857 5층 (신사동)",피부과,2026-03-10,02-514-1019,37.5253452973989,127.028099944398
온우의원,의원,서울,"서울특별시 강남구 강남대로110길 29, 1~2층 (역삼동)",일반의,2026-03-16,02-538-1004,,
옵티마웰니스뮤지엄성수약국,약국,서울,"서울특별시 성동구 성수일로4길 48, 1층,2층,3층 (성수동2가)",,2026-03-23,010-9062-1496,37.5422543654859,127.054049875928
더힐피부과의원,의원,서울,"서울특별시 송파구 올림픽로 329, 432~438호 (신천동)",피부과,2026-03-17,02-417-1102,,
엘비아피부과의원,의원,서울,"서울특별시 서초구 강남대로 527, 브랜드칸 타워 14층 (반포동)",피부과,2026-03-11,02-516-8989,37.5090878311164,127.021849979814
연세아이돌치과교정과의원,치과의원,서울,"서울특별시 광진구 아차산로 484, 2층 (구의동)",,2026-03-04,02-6085-2875,37.5407523432876,127.095646084596
둔촌백세팔팔정형외과의원,의원,서울,"서울특별시 강동구 양재대로 1363, 1층 (성내동)",정형외과,2026-03-04,02-482-1008,37.5278730429962,127.135779712533
서울리안안과의원,의원,서울,"서울특별시 동대문구 답십리로 288, 씨젠 메디칼 타워 4층 4-2호 (장안동)",안과,2026-03-11,02-2212-1123,37.5719341385201,127.072354312103
SNU이용석신경과의원,의원,서울,"서울특별시 동작구 보라매로5가길 16, 303,310호 (신대방동, 보라매아카데미타워)",신경과,2026-03-10,02-6265-1119,,
더치유한의원,한의원,서울,"서울특별시 서초구 방배로 108, 6층 (방배동)",,2026-03-03,02-522-9418,37.4838342212021,126.996444097861
리오브피부과의원,의원,서울,"서울특별시 강남구 압구정로36길 8, 3층 (신사동)",피부과,2026-03-13,02-6958-8815,37.5279511760453,127.031320992326
완성형외과의원,의원,서울,"서울특별시 서초구 강남대로 509, A동 3층 (반포동)",성형외과,2026-03-18,02-546-0222,37.5076445712488,127.022491634375
사당유연정신건강의학과의원,의원,서울,"서울특별시 관악구 남부순환로 2064, 3층 302호 (남현동)",정신건강의학과,2026-03-25,02-598-5006,37.4764021630158,126.978098942823
경희정성한의원,한의원,서울,"서울특별시 강북구 한천로 1131, 지상1층 104호 (수유동, 수유현대아파트)",,2026-03-12,02-905-5007,37.6454358502605,127.018624497272
영스약국,약국,서울,"서울특별시 중구 퇴계로73길 35, 신일빌딩 1층 2호 (신당동)",,2026-03-19,010-4867-7740,37.5667800145325,127.013727630869
다미약국,약국,서울,"서울특별시 강남구 도산대로 235, 더 시에나 도산 1층 (신사동)",,2026-03-10,010-5172-1025,37.5215884805336,127.0326425408
프라임약국,약국,서울,"서울특별시 중랑구 면목로 417, 새마을금고 1층 102호 (면목동)",,2026-03-03,010-8792-6854,37.5892477371287,127.087134976178
지디가정의학과의원,의원,울산,"울산광역시 중구 번영로 576, 초이스빌딩 4층 (남외동) (남외동)",가정의학과,2026-03-12,052-281-0875,35.5684834592506,129.345027704391
뷰티온의원,의원,울산,"울산광역시 남구 대학로 146, 5층 (무거동)",일반의,2026-03-30,052-716-7085,35.547571226668,129.26260361321
고려온누리약국,약국,울산,"울산광역시 남구 월평로171번길 9, 1층 (신정동)",,2026-03-12,052-274-1910,35.5459309673714,129.323329093287
큰별치과의원,치과의원,경기,"경기도 양주시 옥정동로 187, 3층 (옥정동)",,2026-03-05,031-894-5828,37.8236481879745,127.098655093666
연세아이디의원,의원,경기,경기도 의정부시 시민로121번길,일반의,2026-03-17,031-840-5100,37.7402859256026,127.049626669731
더보은치과의원,치과의원,경기,"경기도 부천시 원미구 부천로 57-1, 사과나무빌딩 702호 (심곡동)",,2026-03-24,032-710-2845,37.4895011072233,126.783597929141
시흥e소망치과의원,치과의원,경기,경기도 시흥시 비둘기공원6길,,2026-03-06,031-318-2804,37.4426544673471,126.791265360699
효성메디칼의원,의원,경기,"경기도 고양시 덕양구 지축1로 49, 삼화프라자 3~4층 (지축동)",일반의,2026-03-30,02-381-0388,37.6483911646256,126.915694098537
리움한의원,한의원,경기,"경기도 부천시 원미구 상일로 100, 송내부건프라자 306호 (상동)",,2026-03-17,032-343-1073,37.4913215838928,126.753213826241
우리들약국,약국,경기,"경기도 김포시 월곶면 군하로 258, 1층",,2026-03-31,-,37.715616643598,126.553843020449
탑치과의원,치과의원,경기,"경기도 화성시 만세구 서신면 바다뜰길 109, 3층",,2026-03-19,031-357-2899,37.167758993457,126.70720640459
뉴센트럴약국,약국,경기,경기도 의정부시 시민로,,2026-03-01,031-870-2022,37.7358221377688,127.061353011492
케이약국,약국,경기,경기도 수원시 권선구 세화로134번길 31 (서둔동),,2026-03-19,031-294-7177,37.2655010405512,126.997205224697
예담한약국,약국,경기,경기도 성남시 분당구 미금로,,2026-03-19,031-8017-3238,37.3470496488571,127.116098314378
이정욱피부과의원,의원,경기,"경기도 성남시 수정구 위례광장로 310, 우성트램타워 4층 B-401호 (창곡동)",피부과,2026-03-04,031-757-3621,37.4727089219441,127.142939037608
휴베이스중앙로약국,약국,경기,"경기도 고양시 일산동구 중앙로 1201, 모아나빌딩 1층, 2층 (장항동)",,2026-03-10,031-901-3398,37.6537549069139,126.776247009241
용인더내과의원,의원,경기,"경기도 용인시 처인구 중부대로 1138, 301호 (삼가동)",내과,2026-03-27,031-336-3398,37.2399947311371,127.171764216873
새영화약국,약국,경기,"경기도 수원시 장안구 정조로958번길 1, 1층 101호 (영화동)",,2026-03-09,031-246-3717,37.2929606053852,127.011498944129
365성모코끼리튼튼의원,의원,경기,"경기도 의왕시 경수대로 365, 1, 2층 (오전동)",일반의,2026-03-27,031-453-3655,,
서울라라치과의원,치과의원,경기,"경기도 광주시 중앙로 136, 302호 (경안동)",,2026-03-04,031-767-2828,37.4118062590001,127.257720771824
365약국,약국,경기,"경기도 하남시 미사강변중앙로 226, 우성르보아파크 112호 (망월동)",,2026-03-10,010-8809-0211,37.5667953666808,127.189247451324
신천햇빛약국,약국,경기,"경기도 시흥시 수인로 3370, 주신빌딩 1층 일부호 (신천동)",,2026-03-17,031-312-8836,37.4410021849054,126.784633765849
사단법인누가온의원,의원,경기,"경기도 부천시 원미구 길주로 396, 성우빌딩 1층일부,2,3층 (춘의동)",일반의,2026-03-30,032-612-0502,37.5031675857427,126.786538635566
미사턱앤구강내과치과의원,치과의원,경기,"경기도 하남시 미사강변동로84번길 21, 남송타워 1201, 1202호 (망월동)",,2026-03-12,031-796-7522,37.5632073837438,127.19421058899
용인새봄약국,약국,경기,"경기도 용인시 처인구 중부대로 1138, 1층 104호 (삼가동)",,2026-03-19,031-338-8746,37.2399947311371,127.171764216873
매일여는365약국,약국,경기,"경기도 오산시 죽담1로 29, 108호,109호 (궐동)",,2026-03-27,031-372-3060,37.1603736350645,127.05218848538
다정한의원,한의원,경기,"경기도 성남시 중원구 광명로323번길 4, 3층 301호 (금광동)",,2026-03-25,031-741-7401,37.4455082219133,127.161852635044
연세탄탄플란트치과의원,치과의원,경기,경기도 의정부시 평화로,,2026-03-24,031-875-2879,37.7285378052907,127.04812975151
정겨운약국,약국,경기,"경기도 용인시 기흥구 구갈로 74, 구갈스포츠센타 111호 (구갈동)",,2026-03-27,010-3716-6896,37.2811344297076,127.11177588506
다건강한내과의원,의원,경기,"경기도 성남시 분당구 돌마로 73, 우방코아 702, 703호 (금곡동)",내과,2026-03-17,031-8039-7574,37.3503991195623,127.110080330242
수호한의원,한의원,경기,"경기도 오산시 동부대로 332-13, 나동 317호 (고현동)",,2026-03-10,031-8029-5575,37.1321034647615,127.079112103152
튼튼통합의원,의원,경기,경기도 의정부시 신흥로,일반의,2026-03-27,031-894-5375,37.7331831137688,127.04351028298
새늘한의원,한의원,경기,"경기도 화성시 동탄구 동탄대로시범길 134, 판매시설동 1층 1001호 (청계동, 동탄역시범반도유보라아이비파크4.0)",,2026-03-30,031-831-3906,37.1990328379764,127.113063831502
범계바른약국,약국,경기,"경기도 안양시 동안구 시민대로 161, 안양무역센터 1층 108호 (비산동)",,2026-03-20,010-5114-3282,37.39049776989,126.949186270325
세교바른안과의원,의원,경기,"경기도 오산시 죽담1로 29, 3층 301~302호 (궐동)",안과,2026-03-30,031-8055-8409,37.1603736350645,127.05218848538
위드원내과의원,의원,경기,"경기도 수원시 권선구 당수로 124, 성산타워 503,504,505,506호 (당수동)",내과,2026-03-03,031-501-7775,37.2851541249191,126.943074268597
더튼튼재활의학과의원,의원,경기,"경기도 수원시 권선구 당수로 124, 성산타워 604,605,606,607,608,609,610호 (당수동)",재활의학과,2026-03-10,031-408-7582,37.2851541249191,126.943074268597
서울삼성치과의원,치과의원,경기,"경기도 평택시 삼성로 114, 삼성전자(주) 평택캠퍼스 사무3동 4층 (고덕동)",,2026-03-20,031-615-4201,37.0356175409042,127.053163230003
당신의치과의원,치과의원,경기,"경기도 안양시 만안구 안양로 142, 2층 (안양동)",,2026-03-25,031-466-7522,37.3872321260631,126.931544948649
오체안성형외과의원 용인기흥점,의원,경기,"경기도 용인시 기흥구 구갈로 55, 2층 (구갈동)",성형외과,2026-03-11,031-285-8275,37.2794042546741,127.110913203267
삼성디에스치과의원,치과의원,경기,"경기도 평택시 삼성로 144, 삼성전자(주) 평택캠퍼스 복지동 3층 (고덕동)",,2026-03-03,031-6191-2875,37.0374992571755,127.051947699157
예미소치과의원,치과의원,경기,"경기도 용인시 기흥구 서천로127번길 4, 205~208호 (서천동)",,2026-03-27,031-205-2879,,
동탄삼성365정형외과내과의원,의원,경기,"경기도 화성시 동탄구 동탄신리천로 406, 401~411호 (목동)",정형외과,2026-03-25,031-377-3655,,
에덴튼튼의원,의원,경기,"경기도 부천시 오정구 소사로 791, 3층 (원종동)",일반의,2026-03-17,032-676-7504,37.5267270135428,126.804559727721
진접센트럴이비인후과의원,의원,경기,"경기도 남양주시 진접읍 장현로 93, 3층",이비인후과,2026-03-31,031-8034-5150,37.718638852264,127.182500683392
돌고래약국,약국,경기,경기도 파주시 청석로,,2026-03-01,031-946-3533,37.7207387594411,126.718026433133
여주빛한의원,한의원,경기,"경기도 여주시 세종로 84, 영우빌딩 2층 (홍문동)",,2026-03-12,031-885-0975,37.2905090170896,127.634618281491
온마음약국,약국,경기,"경기도 수원시 영통구 중부대로246번길 13, 1층 1호 (매탄동)",,2026-03-18,031-217-5795,37.2743336437937,127.042519258631
미사일마취통증의학과의원,의원,경기,"경기도 하남시 미사강변동로84번길 15, 214~217호 (망월동)",마취통증의학과,2026-03-06,031-794-7555,,
김포한강한의원,한의원,경기,"경기도 김포시 김포한강4로 110, 202호 (장기동)",,2026-03-10,031-8049-7541,37.644615943567,126.668942929297
진심을다하는치과의원,치과의원,경기,"경기도 수원시 권선구 당수로 124, 성산타워 3층 303,304,305호 (당수동)",,2026-03-17,031-502-2879,37.2851541249191,126.943074268597
튼튼약국,약국,경기,"경기도 의왕시 경수대로 369, 창금빌딩 1층 (오전동)",,2026-03-31,070-5030-3500,37.3577276650438,126.966045828276
분당우리집한의원,한의원,경기,"경기도 성남시 분당구 성남대로 165, 천사의도시1 오피스텔 232,233호 (금곡동)",,2026-03-16,031-778-7667,37.3507566438221,127.108327602418
더바른정형외과의원,의원,경기,"경기도 안산시 상록구 용신로 394, 서해프라자 3층 302, 303호 (본오동)",정형외과,2026-03-18,031-437-7582,37.3013718655561,126.86588638955
서울삼성내과의원,의원,경기,"경기도 용인시 수지구 고기로 80, 303호 (동천동)",내과,2026-03-06,031-262-5700,37.344903632041,127.094359175421
365가찬한의원,한의원,경기,"경기도 화성시 병점구 영통로 70, 301호 (반월동)",,2026-03-17,031-202-6997,37.2363203472689,127.061384488917
생생마취통증의학과의원,의원,경기,"경기도 화성시 만세구 남양읍 시청로160번길 33, 3층",마취통증의학과,2026-03-24,031-356-1200,37.1974320009853,126.825878810963
에이스약국,약국,경기,"경기도 하남시 초이로 136, 2층 일부호 (초이동)",,2026-03-17,010-8784-4506,37.5427598359399,127.171869813515
삼성지정형외과의원,의원,경기,"경기도 군포시 군포로 522, 군포새마을금고 4층 (당동)",정형외과,2026-03-20,031-452-3000,37.3525822159055,126.945663942032
톤즈의원,의원,경기,"경기도 안산시 단원구 화랑로 408, 블루빌타운 201~203,205~206호 (고잔동)",일반의,2026-03-05,031-000-0000,37.3207968884523,126.83307731405
튼튼통합한의원,한의원,경기,경기도 의정부시 신흥로,,2026-03-27,031-894-5375,37.7331831137688,127.04351028298
성지의원,의원,경기,"경기도 하남시 미사강변동로 95, 힐스테이트 미사역 그랑파사쥬(12-1BL) B1018호 (망월동)",일반의,2026-03-04,010-8319-8891,37.5637312032917,127.191741670397
쑥쑥키즈치과의원,치과의원,경기,"경기도 성남시 중원구 금빛로 43, 303,304호 (금광동)",,2026-03-13,031-741-2888,,
참좋은약국,약국,경기,"경기도 성남시 분당구 돌마로 73, 우방코아 704호 (금곡동)",,2026-03-09,031-697-8321,37.3503991195623,127.110080330242
서울성장하는치과의원,치과의원,경기,"경기도 과천시 별양상가3로 8, 힐스테이트 과천청사역 309, 310, 311, 312호 (별양동)",,2026-03-17,02-6080-2882,37.4261108716574,126.990710125938
운정빌리지약국,약국,경기,"경기도 파주시 와석순환로515번길 10, 힐스테이트 더 운정 P2동 2층 2801, 2802호 (와동동)",,2026-03-27,070-4099-8062,37.7259219117275,126.764705135788
나은약국,약국,경기,경기도 양주시 장흥면 권율로,,2026-03-03,031-877-1226,37.7703290126208,126.961400672827
열매나무정신건강의학과의원,의원,경기,"경기도 과천시 과천대로 111, 렉서 3층 309호 (갈현동)",정신건강의학과,2026-03-24,02-503-8275,37.4126466419334,126.980689011081
우리동네 3층약국,약국,경기,"경기도 용인시 수지구 성복2로 17, 수지 골드프라자1 119-1호 (성복동)",,2026-03-03,031-8404-6300,37.3107115964055,127.081023433323
나은약국,약국,경기,"경기도 오산시 남부대로 342, 은혜빌딩 1층 105호 (원동)",,2026-03-24,031-378-6163,37.1356560672626,127.073535593456
365편한일층치과의원,치과의원,경기,"경기도 화성시 효행구 효행로 271, 1층 (기안동)",,2026-03-23,031-890-2828,37.2236290938327,126.973230179624
올바른마디튼튼의원,의원,경기,경기도 가평군 청평면 청평중앙로 52,일반의,2026-03-16,031-585-8881,37.7379247377618,127.420310494167
튼튼약국,약국,경기,"경기도 군포시 당산로 104, 두현타워 (금정동)",,2026-03-30,031-429-1348,37.3609810389835,126.946413623387
더세교365한의원,한의원,경기,"경기도 오산시 죽담1로 29, 201호 (궐동)",,2026-03-31,031-373-1075,37.1603736350645,127.05218848538
광명일번약국,약국,경기,"경기도 광명시 오리로 965, 101, 102, 103, 지하호 (광명동)",,2026-03-23,02-2617-5451,,
시니어스의원,의원,경기,"경기도 성남시 분당구 구미로173번길 47, 서울시니어스분당타워 B101호 (구미동)",일반의,2026-03-27,031-738-9711,37.3471420306282,127.12371740243
